Nr.;BLZ;Institut;Ort;RZ;Organisation;HBCI-Zugang DNS;HBCI- Zugang     IP-Adresse;HBCI-Version;DDV;RDH-1;RDH-2;RDH-3;RDH-4;RDH-5;RDH-6;RDH-7;RDH-8;RDH-9;RDH-10;RAH-7;RAH-9;RAH-10;PIN/TAN-Zugang URL;Version;Datum letzte Änderung;;;;;
1064;37570024;Deutsche Bank Privat und Geschäftskunden AG;Burscheid, Rheinl;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
1065;37570024;Deutsche Bank Privat und Geschäftskunden AG;Leichlingen (Rheinland);eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
1066;37570024;Deutsche Bank Privat und Geschäftskunden AG;Leverkusen;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
1067;37570064;Deutsche Bank AG;Burscheid, Rheinl;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
1068;37570064;Deutsche Bank AG;Leichlingen (Rheinland);eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
1069;37570064;Deutsche Bank AG;Leverkusen;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
1070;38020090;UniCredit Bank - HypoVereinsbank AG;Bonn;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
1071;38040007;Commerzbank;Bonn;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
1072;38040007;Commerzbank;Bad Neuenahr-Ahrweiler;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
1073;38040007;Commerzbank;Bad Honnef;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
1074;38040007;Commerzbank;Euskirchen;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
1075;38040007;Commerzbank;Hennef ;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
1076;38040007;Commerzbank;Siegburg;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
1077;38051290;Stadtsparkasse Bad Honnef ;Bad Honnef;Finanz Informatik GmbH & Co. KG;DSGV;banking-rl5.s-fints-pt-rl.de;nicht unterstützt;3.0;ja;;;;;;;;;;;;;;https://banking-rl5.s-fints-pt-rl.de/fints30;FinTS V3.0;21.07.2015;;;;;
1078;38060186;Volksbank Bonn Rhein-Sieg eG;Bonn Rhein-Sieg;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013;;;;;
1079;38070024;Deutsche Bank Privat und Geschäftskunden AG;Bad Honnef;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
1080;38070024;Deutsche Bank Privat und Geschäftskunden AG;Bad Neuenahr-Ahrweiler;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
1081;38070024;Deutsche Bank Privat und Geschäftskunden AG;Bonn;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
1082;38070024;Deutsche Bank Privat und Geschäftskunden AG;Meckenheim, Rheinl;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
1083;38070024;Deutsche Bank Privat und Geschäftskunden AG;Remagen;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
1084;38070024;Deutsche Bank Privat und Geschäftskunden AG;Rheinbach;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
1085;38070059;Deutsche Bank AG;Bonn;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
1086;38070059;Deutsche Bank AG;Bad Neuenahr-Ahrweiler;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
1087;38070059;Deutsche Bank AG;Meckenheim, Rheinl;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
1088;38070059;Deutsche Bank AG;Rheinbach;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
1089;38070059;Deutsche Bank AG;Remagen;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
1090;38070059;Deutsche Bank AG;Bad Honnef;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
1091;38160220;Raiffeisenbank Hardtbg.-Alfter;Hardtbg.-Alfter;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013;;;;;
1092;38250110;Kreissparkasse Euskirchen ;Euskirchen;Finanz Informatik GmbH & Co. KG;DSGV;banking-rl5.s-fints-pt-rl.de;nicht unterstützt;3.0;ja;;;;;;;;;;;;;;https://banking-rl5.s-fints-pt-rl.de/fints30;FinTS V3.0;21.07.2015;;;;;
1093;38260082;Volksbank Euskirchen eG;Euskirchen;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013;;;;;
1094;38440016;Commerzbank;Bergneustadt;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
1095;38440016;Commerzbank;Gummersbach;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
1096;38440016;Commerzbank;Waldbröl;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
1097;38440016;Commerzbank;Wiehl;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
1098;38450000;Sparkasse Gummersbach-Bergneustadt ;Gummersbach-Bergneustadt;Finanz Informatik GmbH & Co. KG;DSGV;banking-rl5.s-fints-pt-rl.de;nicht unterstützt;3.0;ja;;;;;;;;;;;;;;https://banking-rl5.s-fints-pt-rl.de/fints30;FinTS V3.0;21.07.2015;;;;;
1099;38452490;Sparkasse der Homburgischen Gemeinden;Wiehl ;Finanz Informatik GmbH & Co. KG;DSGV;banking-rl5.s-fints-pt-rl.de;nicht unterstützt;3.0;ja;;;;;;;;;;;;;;https://banking-rl5.s-fints-pt-rl.de/fints30;FinTS V3.0;21.07.2015;;;;;
1100;38460081;Volksbank Oberberg eG;Oberberg;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013;;;;;
1101;38462135;Raiffeisenbank Wiehl eG;Wiehl;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013;;;;;
1102;38470024;Deutsche Bank Privat und Geschäftskunden AG;Bergneustadt;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
1103;38470024;Deutsche Bank Privat und Geschäftskunden AG;Engelskirchen;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
1104;38470024;Deutsche Bank Privat und Geschäftskunden AG;Gummersbach;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
1105;38470024;Deutsche Bank Privat und Geschäftskunden AG;Meinerzhagen;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
1106;38470024;Deutsche Bank Privat und Geschäftskunden AG;Waldbröl;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
1107;38470091;Deutsche Bank AG;Bergneustadt;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
1108;38470091;Deutsche Bank AG;Engelskirchen;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
1109;38470091;Deutsche Bank AG;Gummersbach;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
1110;38470091;Deutsche Bank AG;Meinerzhagen;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
1111;38470091;Deutsche Bank AG;Waldbröl;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
1112;38621500;Steyler Missionssparinst. GmbH;Steyl;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013;;;;;
1113;39040013;Commerzbank;Eschweiler;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
1114;39040013;Commerzbank;Aachen;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
1115;39040013;Commerzbank;Stolberg;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
1116;39040013;Commerzbank;Würselen;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
1117;39040013;Commerzbank;Jülich;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
1118;39040013;Commerzbank;Herzogenrath;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
1119;39040013;Commerzbank;Simmerath;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
1120;39050000;Sparkasse Aachen ;Aachen;Finanz Informatik GmbH & Co. KG;DSGV;banking-rl3.s-fints-pt-rl.de;nicht unterstützt;3.0;ja;;;;;;;;;;;;;;https://banking-rl3.s-fints-pt-rl.de/fints30;FinTS V3.0;21.07.2015;;;;;
1121;39060180;Aachener Bank eG;Aachen;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;12.09.2015;;;;;
1122;39070020;Deutsche Bank AG;Eschweiler, Rheinl;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
1123;39070020;Deutsche Bank AG;Alsdorf, Rheinl;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
1124;39070020;Deutsche Bank AG;Aldenhoven b Jülich;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
1125;39070020;Deutsche Bank AG;Aachen;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
1126;39070020;Deutsche Bank AG;Jülich;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
1127;39070020;Deutsche Bank AG;Hückelhoven;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
1128;39070020;Deutsche Bank AG;Herzogenrath;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
1129;39070020;Deutsche Bank AG;Übach-Palenberg;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
1130;39070020;Deutsche Bank AG;Stolberg (Rhld.);eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
1131;39070020;Deutsche Bank AG;Würselen;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
1132;39070020;Deutsche Bank AG;Heinsberg, Rheinl;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
1133;39070024;Deutsche Bank Privat und Geschäftskunden AG;Aachen;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
1134;39070024;Deutsche Bank Privat und Geschäftskunden AG;Aldenhoven b Jülich;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
1135;39070024;Deutsche Bank Privat und Geschäftskunden AG;Alsdorf, Rheinl;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
1136;39070024;Deutsche Bank Privat und Geschäftskunden AG;Eschweiler, Rheinl;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
1137;39070024;Deutsche Bank Privat und Geschäftskunden AG;Heinsberg, Rheinl;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
1138;39070024;Deutsche Bank Privat und Geschäftskunden AG;Herzogenrath;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
1139;39070024;Deutsche Bank Privat und Geschäftskunden AG;Hückelhoven;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
1140;39070024;Deutsche Bank Privat und Geschäftskunden AG;Jülich;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
1141;39070024;Deutsche Bank Privat und Geschäftskunden AG;Stolberg (Rhld.);eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
1142;39070024;Deutsche Bank Privat und Geschäftskunden AG;Übach-Palenberg;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
1143;39070024;Deutsche Bank Privat und Geschäftskunden AG;Würselen;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
1144;39162980;Volksbank Würselen eG;Würselen;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013;;;;;
1145;39362254;Raiffeisenbank Eschweiler eG;Eschweiler;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013;;;;;
1146;39540052;Commerzbank;Düren;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
1147;39550110;Sparkasse Düren ;Düren;Finanz Informatik GmbH & Co. KG;DSGV;banking-rl5.s-fints-pt-rl.de;nicht unterstützt;3.0;ja;;;;;;;;;;;;;;https://banking-rl5.s-fints-pt-rl.de/fints30;FinTS V3.0;21.07.2015;;;;;
1148;39560201;Volksbank Düren eG;Düren;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013;;;;;
1149;39570024;Deutsche Bank Privat und Geschäftskunden AG;Düren, Rheinl;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
1150;39570024;Deutsche Bank Privat und Geschäftskunden AG;Kreuzau;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
1151;39570061;Deutsche Bank AG;Düren, Rheinl;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
1152;39570061;Deutsche Bank AG;Kreuzau;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
1153;40030000;Münsterländische Bank Thie & Co;Münster;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;30.06.2015;;;;;
1154;40040028;Commerzbank;Greven;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
1155;40040028;Commerzbank;Dülmen;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
1156;40040028;Commerzbank;Coesfeld;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
1157;40040028;Commerzbank;Lüdinghausen;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
1158;40040028;Commerzbank;Münster;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
1159;40040028;Commerzbank;Emsdetten;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
1160;40050150;Stadtsparkasse Münsterland Ost;Münster;Finanz Informatik GmbH & Co. KG;DSGV;banking-wl6.s-fints-pt-wl.de;nicht unterstützt;3.0;ja;;;;;;;;;;;;;;https://banking-wl6.s-fints-pt-wl.de/fints30;FinTS V3.0;21.07.2015;;;;;
1161;40060265;DKM Darlehnskasse Münster eG;Münster;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013;;;;;
1162;40060300;WL-Bank;Münster;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013;;;;;
1163;40060560;Sparda-Bank Münster eG;Münster;Sparda-Datenverarbeitung eG;BVR;;;;;;;;;;;;;;;;;;https://fints.bankingonline.de/fints/FinTs30PinTanHttpGate;FinTS V3.0;26.09.2013;;;;;
1164;40061238;Volksbank Greven eG;Greven;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013;;;;;
1165;40069226;Volksbank Darup-Rorup eG;Darup-Rorup;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013;;;;;
1166;40069266;Volksbank Marsberg eG;Marsberg;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013;;;;;
1167;40069283;Volksbank Schlangen eG;Schlangen;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013;;;;;
1168;40069348;Volksbank Medebach eG;Medebach;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013;;;;;
1169;40069362;Volksbank Saerbeck eG;Saerbeck;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013;;;;;
1170;40069363;Volksbank Schermbeck eG.;Schermbeck;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013;;;;;
1171;40069371;Volksbank Brilon-Thülen eG;Brilon-Thülen;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013;;;;;
1172;40069408;Volksbank Baumberge eG;Baumberge;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013;;;;;
1173;40069462;Volksbank Sprakel eG.;Sprakel;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013;;;;;
1174;40069537;VB Ostbevern-Kattenvenne eG;Ostbevern-Kattenvenne;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013;;;;;
1175;40069546;Volksbank Senden eG;Senden;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013;;;;;
1176;40069600;Volksbank Amelsbüren eG;Amelsbüren;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013;;;;;
1177;40069601;Volksbank Ascheberg-Herbern eG.;Ascheberg-Herbern;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013;;;;;
